record_id,image_path,object_key,public_url
"x-1908092349227397121","assets/midjourney-x-discussions/some-fresh-blackcurrants-are-housed-inside-beige-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1908092349227397121/some-fresh-blackcurrants-are-housed-inside-beige-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1908092349227397121/some-fresh-blackcurrants-are-housed-inside-beige-1.jpg"
"x-1908178975676866789","assets/midjourney-x-discussions/doganuraldesign-i-am-still-very-early-testing-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1908178975676866789/doganuraldesign-i-am-still-very-early-testing-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1908178975676866789/doganuraldesign-i-am-still-very-early-testing-1.jpg"
"x-1910357067388559529","assets/midjourney-x-discussions/epic-photo-masterpiece-kanroji-mitsuri-waifu-demon-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1910357067388559529/epic-photo-masterpiece-kanroji-mitsuri-waifu-demon-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1910357067388559529/epic-photo-masterpiece-kanroji-mitsuri-waifu-demon-1.jpg"
"x-1912121294247907332","assets/midjourney-x-discussions/vietnamese-beauty-queen-wearing-traditional-dress-black-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1912121294247907332/vietnamese-beauty-queen-wearing-traditional-dress-black-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1912121294247907332/vietnamese-beauty-queen-wearing-traditional-dress-black-1.jpg"
"x-1913809641332752766","assets/midjourney-x-discussions/mj-v7-textures-fabrics-metals-flesh-sref-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1913809641332752766/mj-v7-textures-fabrics-metals-flesh-sref-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1913809641332752766/mj-v7-textures-fabrics-metals-flesh-sref-1.jpg"
"x-1915718070028456015","assets/midjourney-x-discussions/25yo-female-human-wild-ginger-hair-antlers-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1915718070028456015/25yo-female-human-wild-ginger-hair-antlers-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1915718070028456015/25yo-female-human-wild-ginger-hair-antlers-1.jpg"
"x-1916385747386372352","assets/midjourney-x-discussions/good-morning-ive-noticed-that-mj-v7-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1916385747386372352/good-morning-ive-noticed-that-mj-v7-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1916385747386372352/good-morning-ive-noticed-that-mj-v7-1.jpg"
"x-1917107734719143967","assets/midjourney-x-discussions/charming-mj-v7-comic-sref-bold-colours-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1917107734719143967/charming-mj-v7-comic-sref-bold-colours-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1917107734719143967/charming-mj-v7-comic-sref-bold-colours-1.jpg"
"x-1918252587557765298","assets/midjourney-x-discussions/lofi-horror-nightmare-scene-chaos-26-ar-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1918252587557765298/lofi-horror-nightmare-scene-chaos-26-ar-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1918252587557765298/lofi-horror-nightmare-scene-chaos-26-ar-1.jpg"
"x-1918361712488559001","assets/midjourney-x-discussions/hollywood-alice-wonderland-woman-moulin-rouge-style-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1918361712488559001/hollywood-alice-wonderland-woman-moulin-rouge-style-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1918361712488559001/hollywood-alice-wonderland-woman-moulin-rouge-style-1.jpg"
"x-1921560838407594456","assets/midjourney-x-discussions/cinematic-vertical-shot-small-crew-fishing-boat-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1921560838407594456/cinematic-vertical-shot-small-crew-fishing-boat-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1921560838407594456/cinematic-vertical-shot-small-crew-fishing-boat-1.jpg"
"x-1923398076418470082","assets/midjourney-x-discussions/simple-pencil-sketch-heron-reeds-white-textured-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1923398076418470082/simple-pencil-sketch-heron-reeds-white-textured-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1923398076418470082/simple-pencil-sketch-heron-reeds-white-textured-1.jpg"
"x-1934888901010735300","assets/midjourney-x-discussions/mj-v7-is-now-default-style-brand-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1934888901010735300/mj-v7-is-now-default-style-brand-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1934888901010735300/mj-v7-is-now-default-style-brand-1.jpg"
"x-1943571460615999859","assets/midjourney-x-discussions/mj-v7-sref-alert-ar-filter-effect-1.jpg","prompt-libraries/awesome-ai-prompts/midjourney/x-1943571460615999859/mj-v7-sref-alert-ar-filter-effect-1.jpg","https://pub-911e4fa03f0c4323a80d8f3dc99d1c7f.r2.dev/prompt-libraries/awesome-ai-prompts/midjourney/x-1943571460615999859/mj-v7-sref-alert-ar-filter-effect-1.jpg"
